address,city,date,district,hotpot,href,info,level,op,price,size,structure,tax,title,year,avg_price
金色里程,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19072314310100102922.html,低楼层(共18层)|2019年建|3室2厅|118平米|南,低楼层(共18层),南,65.0,118.0,3室2厅,0,金色里程 3室2厅 南,2019,0.5508475
当涂县城河人家小区,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19112014310100107185.html,高楼层(共6层)4室2厅|198平米|南,高楼层(共6层,南,62.0,198.0,4室2厅,0,当涂县城河人家小区 4室2厅 南,0,0.3131313
恒生阳光城小区,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19110714310100106670.html,高楼层(共18层)3室2厅|92.7平米|南,高楼层(共18层,南,61.6,92.7,3室2厅,0,恒生阳光城小区 3室2厅 南,0,0.6645092
多蓝水岸,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19061914310100101832.html,中楼层(共6层)3室2厅|132.3平米|南,中楼层(共6层,南,70.5,132.3,3室2厅,0,多蓝水岸 3室2厅 南,0,0.5328798
阳光威尼斯,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19110814310100100788.html,中楼层(共5层)2室2厅|93.61平米|南北,中楼层(共5层,南北,62.0,93.61,2室2厅,0,阳光威尼斯（精装大两房 多层二楼）工作调动 诚心出售,0,0.6623224
豪邦君悦华庭,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19103014310100101734.html,高楼层(共18层)3室2厅|104平米|南北,高楼层(共18层,南北,58.0,104.0,3室2厅,0,贝壳真房源，豪邦君悦华庭三房中间楼层诚售！,0,0.5576923
姑孰新城逸仙苑,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19111714310100108888.html,中楼层(共6层)2室2厅|94.7平米|南,中楼层(共6层,南,42.0,94.7,2室2厅,0,此房满五不唯一 实用面积大，本人实地验过房,0,0.44350582
大城坊4村,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19111214310100103964.html,高楼层(共6层)3室2厅|100平米|南,高楼层(共6层,南,28.0,100.0,3室2厅,0,大城坊4村 3室2厅 南,0,0.28
多蓝水岸,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19092414310100108633.html,高楼层(共6层)2室2厅|89平米|南北,高楼层(共6层,南北,56.0,89.0,2室2厅,0,多蓝水岸 2室2厅 南 北,0,0.6292135
马军寨一村,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19111614310100100333.html,低楼层(共5层)2室1厅|78.69平米|南,低楼层(共5层,南,33.0,78.69,2室1厅,0,马军寨一村简装两房，低楼层，配套完善！,0,0.41936713
世代华府,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19100814310100101537.html,中楼层(共22层)2室2厅|96.42平米|南,中楼层(共22层,南,60.0,96.42,2室2厅,满五年,世代华府，毛坯，两房，楼层好采光好,0,0.62227756
东城蓝湾,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19110114310100104849.html,高楼层(共11层)2室2厅|83平米|南,高楼层(共11层,南,35.0,83.0,2室2厅,0,东城蓝湾 2室2厅 南,0,0.42168674
马军寨一村,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19092714310100108583.html,低楼层(共3层)|2012年建|3室1厅|76平米|南,低楼层(共3层),南,23.0,76.0,3室1厅,0,马军寨3房毛坯  中间楼层 采光佳  适合老人居住,2012,0.3026316
家天下,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19083114310100102265.html,低楼层(共6层)2室1厅|89平米|南,低楼层(共6层,南,23.8,89.0,2室1厅,0,家天下 2室1厅 南,0,0.26741573
大成坊二村,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19042214310100111563.html,高楼层(共6层)|2002年建|2室2厅|86平米|南,高楼层(共6层),南,25.0,86.0,2室2厅,0,大成坊二村 2室2厅 南,2002,0.29069766
九韵国际,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19111214310100104711.html,高楼层(共5层)3室2厅|93平米|南,高楼层(共5层,南,55.0,93.0,3室2厅,0,南北通风，设施绿化齐全，楼层佳，采光无遮挡,0,0.5913978
多蓝水岸,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19102114310100104183.html,中楼层(共6层)3室2厅|99.2平米|南,中楼层(共6层,南,60.0,99.2,3室2厅,0,博望区配套成熟，博望区发展潜力大,0,0.6048387
正元香槟城,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19071914310100106631.html,低楼层(共6层)3室2厅|123.73平米|南,低楼层(共6层,南,63.0,123.73,3室2厅,0,正元香槟城 3室2厅 南,0,0.5091732
九韵国际,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19111314310100111574.html,中楼层(共6层)|2006年建|2室2厅|90平米|南,中楼层(共6层),南,60.0,90.0,2室2厅,0,此房精装   。满五    ，阳光充足，,2006,0.6666667
碧桂园首府,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19102714310100101175.html,中楼层(共18层)4室2厅|142平米|南北,中楼层(共18层,南北,116.0,142.0,4室2厅,0,碧桂园首府 4室2厅 南 北,0,0.8169014
翡翠豪庭,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19111714310100111574.html,低楼层(共18层)2室2厅|75.5平米|南,低楼层(共18层,南,40.0,75.5,2室2厅,0,位置好 紧挨着高铁站 人民医院 好租好售 自住方便,0,0.5298013
当涂冠景·御澜湾,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19052714310100103255.html,低楼层(共18层)2室1厅|89.9平米|南,低楼层(共18层,南,70.0,89.9,2室1厅,0,当涂冠景·御澜湾 2室1厅 南,0,0.77864295
缇香郡,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19111714310100110183.html,中楼层(共5层)3室2厅|105平米|南北,中楼层(共5层,南北,82.0,105.0,3室2厅,0,设施绿化齐全，楼层佳，采光无遮挡，潜力社区,0,0.7809524
翠竹小区,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19103014310100110221.html,高楼层(共6层)4室2厅|89.7平米|南,高楼层(共6层,南,30.0,89.7,4室2厅,0,翠竹小区 4室2厅 南,0,0.33444816
辉隆名郡,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19102614310100100385.html,中楼层(共31层)|2016年建|3室2厅|103.25平米|南北,中楼层(共31层),南北,80.0,103.25,3室2厅,0,辉隆名郡 精装三房 南北通透 好楼层 边户 诚心出售,2016,0.7748184
